epoch,train_loss,val_loss,best_val_so_far
1,0.8264841834035118,0.8047999606487599,0.8047999606487599
2,0.8086740764236343,0.799119417971753,0.799119417971753
3,0.8065332589058496,0.801192376207798,0.799119417971753
4,0.8067929372776772,0.8065302137364733,0.799119417971753
5,0.8053270150582263,0.8002810643074361,0.799119417971753
6,0.7993302212821113,0.7937631232941404,0.7937631232941404
7,0.7962593924249998,0.7943932693055336,0.7937631232941404
8,0.7945617293201044,0.794584666160827,0.7937631232941404
9,0.7926554389540461,0.790285586676699,0.790285586676699
10,0.7925599089977315,0.7886786695490492,0.7886786695490492
11,0.7913945611277815,0.7889976222464379,0.7886786695490492
12,0.7917421718706051,0.788780835714746,0.7886786695490492
13,0.7912881191063141,0.7890194400827936,0.7886786695490492
14,0.790826122534663,0.7918787636655442,0.7886786695490492
15,0.7894197527139409,0.7870953977108002,0.7870953977108002
16,0.7893936800635624,0.7883518465021824,0.7870953977108002
17,0.7879472909083404,0.789208228917832,0.7870953977108002
18,0.788701422253308,0.7876928391608786,0.7870953977108002
19,0.7880951954191916,0.78757284993821,0.7870953977108002
20,0.7876501136891101,0.7832796167820057,0.7832796167820057
21,0.7870677738344897,0.7810833542904956,0.7810833542904956
22,0.7867027992418184,0.7826333572255805,0.7810833542904956
23,0.786025534909716,0.7829712261544898,0.7810833542904956
24,0.7862921531754311,0.7829620597210336,0.7810833542904956
25,0.7853548517732909,0.7837618919129067,0.7810833542904956
26,0.7858008869435517,0.7824386237783635,0.7810833542904956
27,0.7839989781245907,0.7817191893750048,0.7810833542904956
28,0.7843988474905825,0.7821224471356006,0.7810833542904956
29,0.7836144757190537,0.7790151612555727,0.7790151612555727
30,0.7820484994771638,0.7817531259770089,0.7790151612555727
31,0.7821695319931916,0.7814363938696841,0.7790151612555727
32,0.7814548270804045,0.7824966476318684,0.7790151612555727
33,0.7808915383352842,0.7782461009127029,0.7782461009127029
34,0.7804507183707523,0.7748262749073354,0.7748262749073354
35,0.7796247798184353,0.7771550702287796,0.7748262749073354
36,0.7790899797855938,0.7745727249916564,0.7745727249916564
37,0.7774649829040339,0.7760061856279982,0.7745727249916564
38,0.7772862175364553,0.776412270804669,0.7745727249916564
39,0.776789903440058,0.7743181059969232,0.7743181059969232
40,0.7764253394571619,0.774754489355899,0.7743181059969232
41,0.774904251901389,0.777622475268993,0.7743181059969232
42,0.7750467925962775,0.7721051453275883,0.7721051453275883
43,0.7748365801592869,0.7740298141824439,0.7721051453275883
44,0.7735207387895295,0.7777208578079304,0.7721051453275883
45,0.7729093680611898,0.7708274157757454,0.7708274157757454
46,0.7721615993280871,0.770292876882756,0.770292876882756
47,0.7727023034986823,0.7751775700995263,0.770292876882756
48,0.7714837027920617,0.7717349041015544,0.770292876882756
49,0.7706724778235828,0.7701479329707774,0.7701479329707774
50,0.7701725154011337,0.7712942019422003,0.7701479329707774
51,0.7691944438533483,0.7704258992316875,0.7701479329707774
52,0.7695478248743364,0.7694645752298072,0.7694645752298072
53,0.7693535182813201,0.7712201127346526,0.7694645752298072
54,0.7687735275922534,0.7675260907792031,0.7675260907792031
55,0.7683281321183064,0.7686837245809272,0.7675260907792031
56,0.7685686350537738,0.7679896614652999,0.7675260907792031
57,0.7683481608844633,0.7672286014607612,0.7672286014607612
58,0.767290501749743,0.7676862497278985,0.7672286014607612
59,0.7668276219790766,0.76700178296008,0.76700178296008
60,0.7657444394798792,0.7674882424638626,0.76700178296008
61,0.7659272116710307,0.7653398006520373,0.7653398006520373
62,0.7655635496515751,0.7668776220463692,0.7653398006520373
63,0.764852010140114,0.7652930135422564,0.7652930135422564
64,0.7659712634838524,0.7702280042019296,0.7652930135422564
65,0.7652586393150282,0.7664173036179645,0.7652930135422564
66,0.7648491946735767,0.7637110821744229,0.7637110821744229
67,0.7642805663624195,0.7635366085996019,0.7635366085996019
68,0.7644060351765651,0.7649732213071052,0.7635366085996019
69,0.7636460151468999,0.7673222390895195,0.7635366085996019
70,0.7636502175753901,0.7643035840480885,0.7635366085996019
71,0.76355197209568,0.7644611584379318,0.7635366085996019
72,0.7634066500179427,0.767164945602417,0.7635366085996019
73,0.7625931673981123,0.7643106135916202,0.7635366085996019
74,0.7620122904327984,0.7624639221962463,0.7624639221962463
75,0.7634094485931525,0.761302003201018,0.761302003201018
76,0.7621014873454333,0.758127008980893,0.758127008980893
77,0.7617342263694297,0.7598595384587633,0.758127008980893
78,0.7610174413147465,0.7635076280604017,0.758127008980893
79,0.7608490347460866,0.7620876089055487,0.758127008980893
80,0.7612843793784462,0.7646752798810919,0.758127008980893
81,0.7603356492706689,0.7594925196880989,0.758127008980893
82,0.7606395488368676,0.758320336646222,0.758127008980893
83,0.7611948374813521,0.761103092990023,0.758127008980893
84,0.7598546753427396,0.7635811560965599,0.758127008980893
85,0.7599939248377225,0.7623740193691659,0.758127008980893
86,0.7600027288317547,0.7605329422240562,0.758127008980893
87,0.7603495797658743,0.7582832416321369,0.758127008980893
88,0.75926858842306,0.7628967812720765,0.758127008980893
89,0.7594961582209526,0.7592321203110066,0.758127008980893
90,0.7593414853049983,0.7596597018394065,0.758127008980893
91,0.7587797216293386,0.7616950286195633,0.758127008980893
92,0.7587248409369711,0.7635697912662587,0.758127008980893
93,0.7583424827600301,0.7606550569229937,0.758127008980893
94,0.7581747565272146,0.7646200771027423,0.758127008980893
95,0.7583477290056637,0.7624923314185853,0.758127008980893
96,0.7575627661045686,0.7597859799861908,0.758127008980893
97,0.7577663561377327,0.7604787990133813,0.758127008980893
98,0.757488657863587,0.7592424433282081,0.758127008980893
99,0.7578663393838371,0.7618212528685306,0.758127008980893
100,0.7570136972816972,0.7617120425751869,0.758127008980893
